SEASON_END_YEAR,PLAYER_NAME,ALL_NBA_LABEL,PLAYER_NAME_KEY
2025,Giannis Antetokounmpo,3,giannis antetokounmpo
2025,Shai Gilgeous-Alexander,3,shai gilgeousalexander
2025,Nikola Jokić,3,nikola jokic
2025,Donovan Mitchell,3,donovan mitchell
2025,Jayson Tatum,3,jayson tatum
2025,Jalen Brunson,2,jalen brunson
2025,Stephen Curry,2,stephen curry
2025,Anthony Edwards,2,anthony edwards
2025,LeBron James,2,lebron james
2025,Evan Mobley,2,evan mobley
2025,Cade Cunningham,1,cade cunningham
2025,Tyrese Haliburton,1,tyrese haliburton
2025,James Harden,1,james harden
2025,Karl-Anthony Towns,1,karlanthony towns
2025,Jalen Williams,1,jalen williams
2024,Giannis Antetokounmpo,3,giannis antetokounmpo
2024,Luka Dončić,3,luka doncic
2024,Shai Gilgeous-Alexander,3,shai gilgeousalexander
2024,Nikola Jokić,3,nikola jokic
2024,Jayson Tatum,3,jayson tatum
2024,Jalen Brunson,2,jalen brunson
2024,Anthony Davis,2,anthony davis
2024,Kevin Durant,2,kevin durant
2024,Anthony Edwards,2,anthony edwards
2024,Kawhi Leonard,2,kawhi leonard
2024,Devin Booker,1,devin booker
2024,Stephen Curry,1,stephen curry
2024,Tyrese Haliburton,1,tyrese haliburton
2024,LeBron James,1,lebron james
2024,Domantas Sabonis,1,domantas sabonis
2023,Giannis Antetokounmpo,3,giannis antetokounmpo
2023,Jayson Tatum,3,jayson tatum
2023,Joel Embiid,3,joel embiid
2023,Shai Gilgeous-Alexander,3,shai gilgeousalexander
2023,Luka Dončić,3,luka doncic
2023,Jimmy Butler,2,jimmy butler
2023,Jaylen Brown,2,jaylen brown
2023,Nikola Jokić,2,nikola jokic
2023,Donovan Mitchell,2,donovan mitchell
2023,Stephen Curry,2,stephen curry
2023,Julius Randle,1,julius randle
2023,LeBron James,1,lebron james
2023,Domantas Sabonis,1,domantas sabonis
2023,De’Aaron Fox,1,deaaron fox
2023,Damian Lillard,1,damian lillard
2022,Giannis Antetokounmpo,3,giannis antetokounmpo
2022,Jayson Tatum,3,jayson tatum
2022,Nikola Jokić,3,nikola jokic
2022,Devin Booker,3,devin booker
2022,Luka Dončić,3,luka doncic
2022,DeMar DeRozan,2,demar derozan
2022,Kevin Durant,2,kevin durant
2022,Joel Embiid,2,joel embiid
2022,Ja Morant,2,ja morant
2022,Stephen Curry,2,stephen curry
2022,Pascal Siakam,1,pascal siakam
2022,LeBron James,1,lebron james
2022,Karl-Anthony Towns,1,karlanthony towns
2022,Chris Paul,1,chris paul
2022,Trae Young,1,trae young
2021,Giannis Antetokounmpo,3,giannis antetokounmpo
2021,Kawhi Leonard,3,kawhi leonard
2021,Nikola Jokić,3,nikola jokic
2021,Stephen Curry,3,stephen curry
2021,Luka Dončić,3,luka doncic
2021,Julius Randle,2,julius randle
2021,LeBron James,2,lebron james
2021,Joel Embiid,2,joel embiid
2021,Chris Paul,2,chris paul
2021,Damian Lillard,2,damian lillard
2021,Jimmy Butler,1,jimmy butler
2021,Paul George,1,paul george
2021,Rudy Gobert,1,rudy gobert
2021,Bradley Beal,1,bradley beal
2021,Kyrie Irving,1,kyrie irving
2020,Giannis Antetokounmpo,3,giannis antetokounmpo
2020,LeBron James,3,lebron james
2020,Anthony Davis,3,anthony davis
2020,James Harden,3,james harden
2020,Luka Dončić,3,luka doncic
2020,Kawhi Leonard,2,kawhi leonard
2020,Pascal Siakam,2,pascal siakam
2020,Nikola Jokić,2,nikola jokic
2020,Damian Lillard,2,damian lillard
2020,Chris Paul,2,chris paul
2020,Jayson Tatum,1,jayson tatum
2020,Jimmy Butler,1,jimmy butler
2020,Rudy Gobert,1,rudy gobert
2020,Ben Simmons,1,ben simmons
2020,Russell Westbrook,1,russell westbrook
2019,Giannis Antetokounmpo,3,giannis antetokounmpo
2019,Paul George,3,paul george
2019,Nikola Jokić,3,nikola jokic
2019,James Harden,3,james harden
2019,Stephen Curry,3,stephen curry
2019,Kevin Durant,2,kevin durant
2019,Kawhi Leonard,2,kawhi leonard
2019,Joel Embiid,2,joel embiid
2019,Damian Lillard,2,damian lillard
2019,Kyrie Irving,2,kyrie irving
2019,Blake Griffin,1,blake griffin
2019,LeBron James,1,lebron james
2019,Rudy Gobert,1,rudy gobert
2019,Russell Westbrook,1,russell westbrook
2019,Kemba Walker,1,kemba walker
2018,LeBron James,3,lebron james
2018,Kevin Durant,3,kevin durant
2018,Anthony Davis,3,anthony davis
2018,James Harden,3,james harden
2018,Damian Lillard,3,damian lillard
2018,LaMarcus Aldridge,2,lamarcus aldridge
2018,Giannis Antetokounmpo,2,giannis antetokounmpo
2018,Joel Embiid,2,joel embiid
2018,DeMar DeRozan,2,demar derozan
2018,Russell Westbrook,2,russell westbrook
2018,Paul George,1,paul george
2018,Jimmy Butler,1,jimmy butler
2018,Karl-Anthony Towns,1,karlanthony towns
2018,Stephen Curry,1,stephen curry
2018,Victor Oladipo,1,victor oladipo
2017,LeBron James,3,lebron james
2017,Kawhi Leonard,3,kawhi leonard
2017,Anthony Davis,3,anthony davis
2017,James Harden,3,james harden
2017,Russell Westbrook,3,russell westbrook
2017,Giannis Antetokounmpo,2,giannis antetokounmpo
2017,Kevin Durant,2,kevin durant
2017,Rudy Gobert,2,rudy gobert
2017,Stephen Curry,2,stephen curry
2017,Isaiah Thomas,2,isaiah thomas
2017,Draymond Green,1,draymond green
2017,Jimmy Butler,1,jimmy butler
2017,DeAndre Jordan,1,deandre jordan
2017,John Wall,1,john wall
2017,DeMar DeRozan,1,demar derozan
2016,LeBron James,3,lebron james
2016,Kawhi Leonard,3,kawhi leonard
2016,DeAndre Jordan,3,deandre jordan
2016,Stephen Curry,3,stephen curry
2016,Russell Westbrook,3,russell westbrook
2016,Kevin Durant,2,kevin durant
2016,Draymond Green,2,draymond green
2016,DeMarcus Cousins,2,demarcus cousins
2016,Chris Paul,2,chris paul
2016,Damian Lillard,2,damian lillard
2016,Paul George,1,paul george
2016,LaMarcus Aldridge,1,lamarcus aldridge
2016,Andre Drummond,1,andre drummond
2016,Klay Thompson,1,klay thompson
2016,Kyle Lowry,1,kyle lowry
2015,LeBron James,3,lebron james
2015,Anthony Davis,3,anthony davis
2015,Marc Gasol,3,marc gasol
2015,Stephen Curry,3,stephen curry
2015,James Harden,3,james harden
2015,LaMarcus Aldridge,2,lamarcus aldridge
2015,DeMarcus Cousins,2,demarcus cousins
2015,Pau Gasol,2,pau gasol
2015,Russell Westbrook,2,russell westbrook
2015,Chris Paul,2,chris paul
2015,Blake Griffin,1,blake griffin
2015,Tim Duncan,1,tim duncan
2015,DeAndre Jordan,1,deandre jordan
2015,Klay Thompson,1,klay thompson
2015,Kyrie Irving,1,kyrie irving
2014,Kevin Durant,3,kevin durant
2014,LeBron James,3,lebron james
2014,Joakim Noah,3,joakim noah
2014,James Harden,3,james harden
2014,Chris Paul,3,chris paul
2014,Blake Griffin,2,blake griffin
2014,Kevin Love,2,kevin love
2014,Dwight Howard,2,dwight howard
2014,Stephen Curry,2,stephen curry
2014,Tony Parker,2,tony parker
2014,Paul George,1,paul george
2014,LaMarcus Aldridge,1,lamarcus aldridge
2014,Al Jefferson,1,al jefferson
2014,Goran Dragic,1,goran dragic
2014,Damian Lillard,1,damian lillard
2013,LeBron James,3,lebron james
2013,Kevin Durant,3,kevin durant
2013,Tim Duncan,3,tim duncan
2013,Kobe Bryant,3,kobe bryant
2013,Chris Paul,3,chris paul
2013,Carmelo Anthony,2,carmelo anthony
2013,Blake Griffin,2,blake griffin
2013,Marc Gasol,2,marc gasol
2013,Tony Parker,2,tony parker
2013,Russell Westbrook,2,russell westbrook
2013,David Lee,1,david lee
2013,Paul George,1,paul george
2013,Dwight Howard,1,dwight howard
2013,Dwyane Wade,1,dwyane wade
2013,James Harden,1,james harden
2012,Kevin Durant,3,kevin durant
2012,LeBron James,3,lebron james
2012,Dwight Howard,3,dwight howard
2012,Kobe Bryant,3,kobe bryant
2012,Chris Paul,3,chris paul
2012,Kevin Love,2,kevin love
2012,Blake Griffin,2,blake griffin
2012,Andrew Bynum,2,andrew bynum
2012,Tony Parker,2,tony parker
2012,Russell Westbrook,2,russell westbrook
2012,Carmelo Anthony,1,carmelo anthony
2012,Dirk Nowitzki,1,dirk nowitzki
2012,Tyson Chandler,1,tyson chandler
2012,Dwyane Wade,1,dwyane wade
2012,Rajon Rondo,1,rajon rondo
2011,Kevin Durant,3,kevin durant
2011,LeBron James,3,lebron james
2011,Dwight Howard,3,dwight howard
2011,Kobe Bryant,3,kobe bryant
2011,Derrick Rose,3,derrick rose
2011,Pau Gasol,2,pau gasol
2011,Dirk Nowitzki,2,dirk nowitzki
2011,Amar’e Stoudemire,2,amare stoudemire
2011,Dwyane Wade,2,dwyane wade
2011,Russell Westbrook,2,russell westbrook
2011,LaMarcus Aldridge,1,lamarcus aldridge
2011,Zach Randolph,1,zach randolph
2011,Al Horford,1,al horford
2011,Manu Ginobili,1,manu ginobili
2011,Chris Paul,1,chris paul
2010,Kevin Durant,3,kevin durant
2010,LeBron James,3,lebron james
2010,Dwight Howard,3,dwight howard
2010,Kobe Bryant,3,kobe bryant
2010,Dwyane Wade,3,dwyane wade
2010,Carmelo Anthony,2,carmelo anthony
2010,Dirk Nowitzki,2,dirk nowitzki
2010,Amar’e Stoudemire,2,amare stoudemire
2010,Steve Nash,2,steve nash
2010,Deron Williams,2,deron williams
2010,Tim Duncan,1,tim duncan
2010,Pau Gasol,1,pau gasol
2010,Andrew Bogut,1,andrew bogut
2010,Joe Johnson,1,joe johnson
2010,Brandon Roy,1,brandon roy
2009,Dirk Nowitzki,3,dirk nowitzki
2009,LeBron James,3,lebron james
2009,Dwight Howard,3,dwight howard
2009,Kobe Bryant,3,kobe bryant
2009,Dwyane Wade,3,dwyane wade
2009,Tim Duncan,2,tim duncan
2009,Paul Pierce,2,paul pierce
2009,Yao Ming,2,yao ming
2009,Chris Paul,2,chris paul
2009,Brandon Roy,2,brandon roy
2009,Carmelo Anthony,1,carmelo anthony
2009,Pau Gasol,1,pau gasol
2009,Shaquille O’Neal,1,shaquille oneal
2009,Chauncey Billups,1,chauncey billups
2009,Tony Parker,1,tony parker
2008,Kevin Garnett,3,kevin garnett
2008,LeBron James,3,lebron james
2008,Dwight Howard,3,dwight howard
2008,Kobe Bryant,3,kobe bryant
2008,Chris Paul,3,chris paul
2008,Tim Duncan,2,tim duncan
2008,Dirk Nowitzki,2,dirk nowitzki
2008,Amar’e Stoudemire,2,amare stoudemire
2008,Steve Nash,2,steve nash
2008,Deron Williams,2,deron williams
2008,Carlos Boozer,1,carlos boozer
2008,Paul Pierce,1,paul pierce
2008,Yao Ming,1,yao ming
2008,Manu Ginobili,1,manu ginobili
2008,Tracy McGrady,1,tracy mcgrady
2007,Tim Duncan,3,tim duncan
2007,Dirk Nowitzki,3,dirk nowitzki
2007,Amar’e Stoudemire,3,amare stoudemire
2007,Kobe Bryant,3,kobe bryant
2007,Steve Nash,3,steve nash
2007,Chris Bosh,2,chris bosh
2007,LeBron James,2,lebron james
2007,Yao Ming,2,yao ming
2007,Gilbert Arenas,2,gilbert arenas
2007,Tracy McGrady,2,tracy mcgrady
2007,Carmelo Anthony,1,carmelo anthony
2007,Kevin Garnett,1,kevin garnett
2007,Dwight Howard,1,dwight howard
2007,Chauncey Billups,1,chauncey billups
2007,Dwyane Wade,1,dwyane wade
2006,LeBron James,3,lebron james
2006,Dirk Nowitzki,3,dirk nowitzki
2006,Shaquille O’Neal,3,shaquille oneal
2006,Kobe Bryant,3,kobe bryant
2006,Steve Nash,3,steve nash
2006,Elton Brand,2,elton brand
2006,Tim Duncan,2,tim duncan
2006,Ben Wallace,2,ben wallace
2006,Chauncey Billups,2,chauncey billups
2006,Dwyane Wade,2,dwyane wade
2006,Carmelo Anthony,1,carmelo anthony
2006,Shawn Marion,1,shawn marion
2006,Yao Ming,1,yao ming
2006,Gilbert Arenas,1,gilbert arenas
2006,Allen Iverson,1,allen iverson
2005,Tim Duncan,3,tim duncan
2005,Dirk Nowitzki,3,dirk nowitzki
2005,Shaquille O’Neal,3,shaquille oneal
2005,Allen Iverson,3,allen iverson
2005,Steve Nash,3,steve nash
2005,Kevin Garnett,2,kevin garnett
2005,LeBron James,2,lebron james
2005,Amar’e Stoudemire,2,amare stoudemire
2005,Ray Allen,2,ray allen
2005,Dwyane Wade,2,dwyane wade
2005,Shawn Marion,1,shawn marion
2005,Tracy McGrady,1,tracy mcgrady
2005,Ben Wallace,1,ben wallace
2005,Gilbert Arenas,1,gilbert arenas
2005,Kobe Bryant,1,kobe bryant
2004,Tim Duncan,3,tim duncan
2004,Kevin Garnett,3,kevin garnett
2004,Shaquille O’Neal,3,shaquille oneal
2004,Kobe Bryant,3,kobe bryant
2004,Jason Kidd,3,jason kidd
2004,Tracy McGrady,2,tracy mcgrady
2004,Peja Stojakovic,2,peja stojakovic
2004,Jermaine O’Neal,2,jermaine oneal
2004,Ben Wallace,2,ben wallace
2004,Sam Cassell,2,sam cassell
2004,Ron Artest,1,ron artest
2004,Dirk Nowitzki,1,dirk nowitzki
2004,Yao Ming,1,yao ming
2004,Baron Davis,1,baron davis
2004,Michael Redd,1,michael redd
2003,Tim Duncan,3,tim duncan
2003,Kevin Garnett,3,kevin garnett
2003,Shaquille O’Neal,3,shaquille oneal
2003,Kobe Bryant,3,kobe bryant
2003,Tracy McGrady,3,tracy mcgrady
2003,Dirk Nowitzki,2,dirk nowitzki
2003,Chris Webber,2,chris webber
2003,Ben Wallace,2,ben wallace
2003,Allen Iverson,2,allen iverson
2003,Jason Kidd,2,jason kidd
2003,Jamal Mashburn,1,jamal mashburn
2003,Paul Pierce,1,paul pierce
2003,Jermaine O’Neal,1,jermaine oneal
2003,Stephon Marbury,1,stephon marbury
2003,Steve Nash,1,steve nash
2002,Tim Duncan,3,tim duncan
2002,Tracy McGrady,3,tracy mcgrady
2002,Shaquille O’Neal,3,shaquille oneal
2002,Kobe Bryant,3,kobe bryant
2002,Jason Kidd,3,jason kidd
2002,Kevin Garnett,2,kevin garnett
2002,Chris Webber,2,chris webber
2002,Dirk Nowitzki,2,dirk nowitzki
2002,Allen Iverson,2,allen iverson
2002,Gary Payton,2,gary payton
2002,Jermaine O’Neal,1,jermaine oneal
2002,Ben Wallace,1,ben wallace
2002,Dikembe Mutombo,1,dikembe mutombo
2002,Steve Nash,1,steve nash
2002,Paul Pierce,1,paul pierce
2001,Tim Duncan,3,tim duncan
2001,Chris Webber,3,chris webber
2001,Shaquille O’Neal,3,shaquille oneal
2001,Allen Iverson,3,allen iverson
2001,Jason Kidd,3,jason kidd
2001,Kevin Garnett,2,kevin garnett
2001,Vince Carter,2,vince carter
2001,Dikembe Mutombo,2,dikembe mutombo
2001,Kobe Bryant,2,kobe bryant
2001,Tracy McGrady,2,tracy mcgrady
2001,Karl Malone,1,karl malone
2001,Dirk Nowitzki,1,dirk nowitzki
2001,David Robinson,1,david robinson
2001,Ray Allen,1,ray allen
2001,Gary Payton,1,gary payton
2000,Tim Duncan,3,tim duncan
2000,Kevin Garnett,3,kevin garnett
2000,Shaquille O’Neal,3,shaquille oneal
2000,Gary Payton,3,gary payton
2000,Jason Kidd,3,jason kidd
2000,Grant Hill,2,grant hill
2000,Karl Malone,2,karl malone
2000,Alonzo Mourning,2,alonzo mourning
2000,Kobe Bryant,2,kobe bryant
2000,Allen Iverson,2,allen iverson
2000,Vince Carter,1,vince carter
2000,Chris Webber,1,chris webber
2000,David Robinson,1,david robinson
2000,Eddie Jones,1,eddie jones
2000,Stephon Marbury,1,stephon marbury
1999,Gary Payton,2,gary payton
